url,มหาวิทยาลัย,ชื่อหลักสูตร,ค่าใช้จ่ายต่อภาค,ค่าใช้จ่ายตลอดหลักสูตร,ชื่อวิทยาเขต,ประเภทหลักสูตร,สาขาวิชา
https://course.mytcas.com/programs/10100329300501E,มหาวิทยาลัยสงขลานครินทร์,วศ.บ. วิศวกรรมดิจิทัล (หลักสูตรนานาชาติ)(นานาชาติ) วิทยาเขต ภูเก็ต,48000.0,384000.0,ภูเก็ต,นานาชาติ,ดิจิทัล
https://course.mytcas.com/programs/10140107300502E,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี  (หลักสูตรนานาชาติ)สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) - วศ.บ. 4 ปีวิทยาเขต บางมด,70000.0,560000.0,บางมด,นานาชาติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10140107300507A,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปีสาขาวิชาวิศวกรรมคอมพิวเตอร์ - วศ.บ. 4 ปี(ภาษาไทย ปกติ) วิทยาเขต บางมด,30000.0,240000.0,บางมด,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10150101300501A,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,วศ.บ.วิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,25000.0,200000.0,กรุงเทพฯ,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10160101300501A,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,25000.0,200000.0,ลาดกระบัง,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10160101300503E,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ)(นานาชาติ) วิทยาเขต ลาดกระบัง,90000.0,720000.0,ลาดกระบัง,นานาชาติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10160101300504A,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์(ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,50000.0,400000.0,ลาดกระบัง,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10160220300501A,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต ชุมพรเขตรอุดมศักดิ์ จังหวัดชุมพร,20000.0,160000.0,ชุมพรเขตรอุดมศักดิ์,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10170107300501A,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,24637.5,197100.0,หลัก,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10200120300501A,มหาวิทยาลัยนเรศวร,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,16000.0,128000.0,หลัก,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10230125300501A,มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์(ภาษาไทย ปกติ),32700.0,261600.0,หลัก,ปกติ,ปัญญาประดิษฐ์
https://course.mytcas.com/programs/10240113300501A,มหาวิทยาลัยแม่ฟ้าหลวง,วศ.บ. วิศวกรรมคอมพิวเตอร์ (จัดการเรียนการสอนเป็นภาษาอังกฤษ)(ภาษาไทย ปกติ),28000.0,224000.0,หลัก,นานาชาติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10250105300501A,มหาวิทยาลัยนราธิวาสราชนครินทร์,วิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ),14000.0,112000.0,หลัก,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10260106300502A,มหาวิทยาลัยนครพนม,วิศวกรรมศาสตรบัณฑิตสาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ),9025.0,72200.0,หลัก,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10270102300501A,มหาวิทยาลัยพะเยา,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ),18500.0,148000.0,หลัก,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10280104300501A,มหาวิทยาลัยกาฬสินธุ์,วศ.บ. วิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,10150.0,81200.0,หลัก,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10340101300501A,มหาวิทยาลัยรามคำแหง,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์))(ภาษาไทย ปกติ),26000.0,208000.0,หลัก,ปกติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10340101300506E,มหาวิทยาลัยรามคำแหง,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์))(นานาชาติ),50407.0,403256.0,หลัก,นานาชาติ,คอมพิวเตอร์
https://course.mytcas.com/programs/10350103300501A,สถาบันเทคโนโลยีจิตรลดา,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์(ภาษาไทย ปกติ),31500.0,252000.0,หลัก,ปกติ,คอมพิวเตอร์
